latitude,longitude,altitude,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,lidar_distance,speed,wind_speed,battery_level,obstacle_detected
37.7723908,-122.4215273,218.1383683,-0.001978538,1.379989866,-2.445774964,49.73204461,39.38134716,-72.39166517,33.32827438,26.18091444,1.768355692,79.32441625,0
37.78391429,-122.4199313,199.8104433,1.480480635,-1.892928026,-2.635477622,-14.65471673,-165.9947516,-145.8656009,81.7654727,17.36292609,0.287489003,90.48815001,0
37.77953988,-122.4123091,129.2692606,0.376000684,-0.920161834,0.625151704,167.219469,40.41372272,-134.510679,99.44049324,9.886640266,14.68822062,57.05439003,0
37.77687317,-122.4225999,323.2700015,-2.500184501,0.979683821,2.796697935,-101.1677576,-147.7193016,-114.9583939,84.15577301,23.41604467,5.234081405,43.13429853,0
37.76802037,-122.412007,264.4808722,-1.886518579,-0.107463933,0.016327854,31.62830976,75.72392587,-106.6847996,34.94122118,15.46695339,17.55356501,45.50772595,0
37.76801989,-122.4276373,439.5654465,-1.684030896,1.431426232,-2.690908644,72.0756054,-39.57204723,-92.78574868,71.26961314,19.86568709,10.71701355,75.75586067,0
37.76606167,-122.413864,64.44931122,-1.452814478,2.767247407,-1.672688064,117.2032162,121.570737,-88.03438957,53.62538298,7.681632254,9.570418959,65.40464272,0
37.78222352,-122.412449,339.7405674,0.392420352,-2.300719874,-1.531242562,-33.49042905,159.3105283,-15.94211562,78.7585195,20.78959974,15.45637545,58.91953048,0
37.7769223,-122.4257636,393.3269953,0.023794679,1.257406298,-0.972857225,67.29188676,-29.84027707,3.446348697,15.73319077,14.33876222,14.82192007,36.2219263,0
37.77906145,-122.4207931,391.7689561,-1.78103977,-1.617935066,-2.738379698,-70.8474703,-14.20009363,-68.80348507,63.99439197,13.35474374,14.08553065,90.036455,0
37.76531169,-122.42609,448.7332852,-2.594670939,-0.513139636,2.429356203,-23.22860675,32.45312916,146.6267112,77.47984395,29.49788947,13.79801912,82.4816358,0
37.7842982,-122.4152679,378.0651843,-1.971406773,-2.802823645,0.093383668,142.4257672,-109.0322201,19.1303004,76.24251787,15.81076607,10.30791994,31.25108814,0
37.78154885,-122.418693,467.5145277,2.906287876,-2.184555706,1.025584758,161.9667394,153.8398227,103.4916941,96.37750406,21.95095945,18.52951072,49.39107637,0
37.76914678,-122.4166935,199.6954699,-0.188718301,-1.081336266,-2.596962979,78.77424489,-24.12002646,152.7256197,6.311932388,20.69318839,17.81282819,63.37056749,0
37.7685365,-122.4254703,276.4442375,2.204073028,-0.948085168,-2.675307193,-45.23331932,-119.9446791,-121.2713588,34.90504722,7.607588772,6.588098829,56.34708982,0
37.76856809,-122.4251651,56.33584848,2.0925148,2.397511299,0.518806632,115.2208044,94.58346003,-25.96518586,47.91708139,23.69818843,16.09389079,51.8236671,0
37.77098484,-122.4285701,53.13091429,0.069117345,1.450877456,2.323776063,-170.6878506,-101.1055059,-24.04425538,31.32147108,13.07898009,17.82217028,77.5065518,0
37.77539513,-122.4229586,158.0569792,1.240126251,2.833097809,0.170892006,-143.0114722,-128.329461,-52.38998984,31.32405661,24.97348873,12.36509942,24.36028034,0
37.7735389,-122.4182051,95.36323871,-1.843487938,0.594429062,2.266915035,58.0945451,22.63394718,-176.793888,18.02479637,20.19101957,11.11158385,57.71282713,0
37.77072458,-122.4122413,167.0951156,1.13038023,-1.549717607,1.865947638,-75.1505129,61.7382919,113.7499588,81.3886646,12.92728725,13.43773495,40.97453523,0
37.77713706,-122.4160615,129.6694825,-1.365692524,-1.03406982,-2.544877285,162.4990386,25.04258664,-139.8386442,90.85286992,13.90732401,3.26121315,26.76947082,0
37.76768988,-122.4206921,62.83401118,1.992372581,-1.08098446,-1.788255154,-23.01817965,56.34383362,178.3730153,8.691572277,23.28768424,1.746873524,57.19097264,0
37.77074289,-122.4103376,459.1868659,-2.497655201,-1.041034034,0.946264015,-25.42866466,-138.4113556,98.26505709,15.91244172,18.75148288,16.4030055,33.70949529,0
37.77222724,-122.4150151,53.70040913,1.638832037,1.037785039,-0.338991705,64.10862367,-8.633506362,28.80360634,23.23107349,21.70877602,11.46652454,40.65794255,0
37.7740214,-122.4107967,381.236965,-2.400378561,0.184847569,-1.255801118,96.32468243,-51.47328813,-124.3416896,51.14425464,8.957958027,2.450029807,60.56069836,0
37.78060352,-122.4188482,118.4665491,2.287135421,-0.687454931,-0.488196864,-8.798854275,170.4127018,5.541469702,79.22161731,24.67441681,8.326360543,97.89671839,0
37.76889348,-122.4242219,460.5033299,-1.174772891,-2.105461388,-0.328802122,-102.9596754,-162.1353837,-86.00085329,7.609824714,13.00978297,5.964687429,74.74040054,0
37.77518469,-122.4283435,451.7581728,0.926360189,-2.867165022,2.463313505,98.39111138,-72.6140869,-89.16389116,63.86289207,20.49653168,17.50955908,42.36974385,0
37.77674829,-122.4148783,344.2555159,-0.074986328,-1.686991934,-2.379250298,-64.67354105,159.0703899,118.6305298,15.3588779,7.866995631,10.14440362,50.59248421,0
37.76582901,-122.4269739,352.5053674,-0.802181128,-2.355171576,-1.321615519,-116.9601231,174.0586259,-42.96800737,97.15997825,13.03550603,11.55025092,52.49065219,0
37.7770509,-122.4233445,52.40261389,0.872650999,1.712670185,0.225388899,47.39046837,116.9645788,-17.73943078,89.92795637,21.22168233,4.705808099,32.29100987,0
37.76831048,-122.4187506,493.1922048,2.685137883,-2.325012253,1.18972156,-147.4366799,-152.6406322,123.4673056,94.98349347,11.85515331,15.98127095,32.85233511,0
37.76620103,-122.4181117,445.0246716,-2.752381516,1.345369424,0.783823734,169.686963,22.0878102,-148.3953747,11.06330582,27.00780492,18.60202575,31.87157788,0
37.78387771,-122.4173883,452.7978016,2.513117135,-0.686047861,2.649856426,47.66301519,-35.95572264,34.06242711,49.05962009,21.53070999,15.84988697,61.73313102,0
37.78421264,-122.4260749,346.6600417,0.65448993,-2.559729662,1.773653549,174.9223875,110.3229244,28.15764529,16.94203342,26.75695983,9.857182864,73.93488694,0
37.78106795,-122.4218053,205.1541179,1.843885805,1.876380297,0.342461052,-57.99836755,-160.1912752,-26.92275506,60.2353773,14.88476756,16.70177864,67.25765477,0
37.77099228,-122.4170561,452.1418921,-0.696750279,0.477783421,-1.71190385,169.633858,-109.0336494,118.7188709,23.65754171,5.849628566,3.759177423,98.22137484,0
37.76685344,-122.4100036,181.1826177,-0.168942151,-1.585430923,-0.294754612,-127.5975908,-3.88977616,159.4404221,77.17778285,19.40349908,2.268273201,30.06996578,0
37.77858466,-122.4148474,303.2201945,2.213104511,2.368087046,1.160293465,-165.349882,-123.2468413,-12.47908971,64.57825876,13.47983757,8.764382406,98.9179525,0
37.77370305,-122.4109479,94.87893755,-0.510912181,-2.728450117,2.027773049,-168.1257382,69.37745137,-15.78706164,57.37465713,16.2047094,3.630689342,57.33391471,0
37.76734076,-122.4141558,464.8800336,0.2079574,-1.789082351,2.758417347,-12.64666658,115.4761996,0.742942681,82.61010222,22.02775535,5.183211122,37.49062302,0
37.77480354,-122.4175657,113.346706,-2.878830461,1.512281567,0.632716597,-150.1184889,73.62716171,80.3246511,50.27716657,22.51661668,11.70233517,95.46246608,0
37.76558777,-122.4255595,151.2035626,-2.048411965,1.256267582,0.161516204,4.3804383,-21.49786309,60.50170465,27.35024816,5.688910372,8.078062276,57.48906481,0
37.78308641,-122.4160663,301.1603712,0.850119048,-1.264369838,-2.893848461,-62.09981874,136.2195599,-99.77941829,62.26019693,24.23256682,17.31756559,47.78775642,0
37.7700756,-122.4169324,393.8418501,1.301861406,-2.627850748,-2.567405585,-59.17356271,-130.4329926,-156.9976745,95.7277319,17.33797287,4.51224691,37.10480831,0
37.77815045,-122.4173506,328.7080877,0.495605621,2.148468433,-2.063370014,48.81923876,-86.2781098,161.7314867,60.31535665,18.91746933,19.93581398,41.43003609,0
37.77113422,-122.4196043,154.4602608,-2.140139782,-1.117814172,-2.671440413,-121.2847178,-3.765713309,-86.0148865,63.14713518,12.44985463,7.187868319,98.33756082,0
37.77530136,-122.4188269,50.42436914,-0.327567429,-1.82571951,-0.594820567,95.95921332,-157.9181044,49.89480649,93.50769279,15.52084465,10.30805701,44.31787519,0
37.77583421,-122.4227111,390.7177611,-0.869431402,0.096370934,-0.978728729,29.53113112,-145.5531186,118.237681,51.76987248,22.75937835,2.646642196,98.2244739,0
37.76859709,-122.4190137,493.3432967,-0.026031936,2.461363196,0.824124947,149.3800664,-36.92038618,-71.9003698,99.63756744,24.41784507,11.58598025,46.41719893,0
37.78429169,-122.4254489,414.4609041,2.221974207,-2.738720533,0.213990648,-48.65736464,159.7990668,48.75602892,16.38637333,14.67765453,19.22569789,38.51347725,0
37.78040266,-122.4132965,257.0929782,1.655168632,1.594824528,0.575824556,173.7773971,147.0289296,-141.1559132,53.93546438,22.27793832,14.98795556,34.66913463,0
37.78368998,-122.4256845,456.6952676,-2.496062992,0.434839368,-0.168136782,27.29795282,-12.24905102,169.17532,21.68363368,11.45108754,4.881091203,52.94836042,0
37.78279655,-122.4277007,234.4314529,2.341855187,-0.447305301,-1.333577109,170.4247042,-128.822924,-159.063021,45.60597365,25.80056663,8.852234217,38.94451588,0
37.776858,-122.4206751,286.2203379,-0.169397093,1.464482665,2.71695189,-170.2581645,-115.8812439,-22.25711742,17.472104,20.24535597,8.508666281,75.75503711,0
37.78333748,-122.4162339,264.7083953,1.463172869,2.794946547,-2.481545041,82.07147607,-44.08342034,13.25492714,22.64161277,24.3796629,1.958955352,39.18173883,0
37.76666985,-122.4206457,251.4307427,-2.159764612,-1.624762733,2.633345997,113.9837487,-104.3732898,104.5734403,21.47460494,16.92887131,17.71700361,86.8317476,0
37.76881966,-122.4238649,398.8358462,1.024317154,-2.13811581,-1.132571719,-160.8576168,-150.128786,-136.3937339,32.34311823,10.72773212,7.629121,86.72090068,0
37.76580455,-122.4182366,287.0460083,-1.582043894,2.477290471,0.075968672,28.42907905,62.55989407,-21.30912941,13.89320093,15.73077783,9.885192222,42.84210992,0
37.77140661,-122.42246,192.5227049,-0.369714617,1.013718465,-2.346946063,108.6992257,29.32150961,-72.10383496,81.02954641,14.53713486,5.824955498,80.28321044,0
37.77267355,-122.4107426,166.1711754,-2.89882278,-0.372083871,-2.57441359,21.97394108,-75.13316713,-67.67614235,22.45722193,13.31791359,3.047912536,88.60367008,0
37.77032698,-122.4109471,66.98629264,-2.090336172,0.439557422,-0.422727308,-157.0271075,100.4214177,100.3636498,41.94861502,10.30434369,18.0422124,67.21062751,0
